PLACE,dateline,headline,link,byline,publication,subhead
MISSOULA,Missoula,Headline verbs filler solution,https://www.solutionsjournalism.org/,Eddie Filler,Missoulian,And another line
GREAT FALLS,Great Falls,Headline verbs filler solution,https://www.solutionsjournalism.org/,Eddie Filler,Great Falls Tribune,And another line
BOZEMAN,Bozeman,Headline verbs filler solution,https://www.solutionsjournalism.org/,Eddie Filler,Bozeman Daily Chronicle,And another line
ANACONDA-DEER LODGE,Anaconda,Headline verbs filler solution,https://www.solutionsjournalism.org/,Eddie Filler,Anaconda Leader,And another line
PHILIPSBURG,Philipsburg,Headline verbs filler solution,https://www.solutionsjournalism.org/,Eddie Filler,SJN,And another line
CHOTEAU,Choteau,Headline verbs filler solution,https://www.solutionsjournalism.org/,Eddie Filler,Choteau Acantha,And another line
RONAN,Ronan,Headline verbs filler solution,https://www.solutionsjournalism.org/,Eddie Filler,Ronan Valley Journal,And another line
SEELEY LAKE,Seeley Lake,Headline verbs filler solution,https://www.solutionsjournalism.org/,Eddie Filler,Seeley Swan Pathfinder,And another line
LIBBY,Libby,Headline verbs filler solution,https://www.solutionsjournalism.org/,Eddie Filler,Western News,And another line
BOULDER,Boulder,Headline verbs filler solution,https://www.solutionsjournalism.org/,Eddie Filler,Boulder Monitor,And another line
CUT BANK,Cut Bank,Headline verbs filler solution,https://www.solutionsjournalism.org/,Eddie Filler,Cut Bank Pioneer Press,And another line
,,,,,,
